acao;evento;timestamp;tabela;origem;destino;mascara;gateway;interface
+R;1566;3.528110196191;AODVNetwork.host[3];145.236.0.4;145.236.0.13;32;145.236.0.13;wlan0
+R;1575;3.528110783421;AODVNetwork.host[10];145.236.0.11;145.236.0.13;32;145.236.0.13;wlan0
+R;1580;3.528110878498;AODVNetwork.host[19];145.236.0.20;145.236.0.13;32;145.236.0.13;wlan0
+R;1657;3.52881048138;AODVNetwork.host[12];145.236.0.13;145.236.0.15;32;145.236.0.15;wlan0
+R;1662;3.528810603042;AODVNetwork.host[3];145.236.0.4;145.236.0.15;32;145.236.0.15;wlan0
+R;1667;3.528810740233;AODVNetwork.host[19];145.236.0.20;145.236.0.15;32;145.236.0.15;wlan0
+R;1672;3.528810780647;AODVNetwork.host[10];145.236.0.11;145.236.0.15;32;145.236.0.15;wlan0
+R;1677;3.528810911145;AODVNetwork.host[17];145.236.0.18;145.236.0.15;32;145.236.0.15;wlan0
+R;1682;3.528811013261;AODVNetwork.host[1];145.236.0.2;145.236.0.15;32;145.236.0.15;wlan0
+R;1687;3.528811022776;AODVNetwork.host[11];145.236.0.12;145.236.0.15;32;145.236.0.15;wlan0
+R;1729;3.53108171079;AODVNetwork.host[18];145.236.0.19;145.236.0.12;32;145.236.0.12;wlan0
+R;1734;3.531081750698;AODVNetwork.host[13];145.236.0.14;145.236.0.12;32;145.236.0.12;wlan0
+R;1739;3.531081767982;AODVNetwork.host[9];145.236.0.10;145.236.0.12;32;145.236.0.12;wlan0
+R;1744;3.531081778252;AODVNetwork.host[16];145.236.0.17;145.236.0.12;32;145.236.0.12;wlan0
+R;1749;3.53108182212;AODVNetwork.host[17];145.236.0.18;145.236.0.12;32;145.236.0.12;wlan0
+R;1754;3.531081851226;AODVNetwork.host[1];145.236.0.2;145.236.0.12;32;145.236.0.12;wlan0
+R;1759;3.531081927314;AODVNetwork.host[3];145.236.0.4;145.236.0.12;32;145.236.0.12;wlan0
+R;1764;3.53108194424;AODVNetwork.host[12];145.236.0.13;145.236.0.12;32;145.236.0.12;wlan0
+R;1769;3.531082008692;AODVNetwork.host[10];145.236.0.11;145.236.0.12;32;145.236.0.12;wlan0
+R;1774;3.531082101321;AODVNetwork.host[14];145.236.0.15;145.236.0.12;32;145.236.0.12;wlan0
+R;1813;3.531441344358;AODVNetwork.host[14];145.236.0.15;145.236.0.20;32;145.236.0.20;wlan0
+R;1818;3.531441611015;AODVNetwork.host[10];145.236.0.11;145.236.0.20;32;145.236.0.20;wlan0
